SCHOOL_ID,UNIT_ID,Short_Name,the_geom,SCH_ADDR,GRADE_CAT,GRADES,SCH_TYPE,X,Y
400010,7950,ACE TECHNICAL CHARTER HS,POINT (-87.62588369683489 41.796037015983636),5410 S STATE ST,HS,"9, 10, 11, 12",Charter,-87.6258837,41.79603702
400008,1720,ACT CHARTER HS,POINT (-87.73391679772082 41.881837366927506),4319 W WASHINGTON BLVD,HS,"6, 7, 8, 9, 10, 11, 12",Charter,-87.7339168,41.88183737
609772,2020,ADDAMS,POINT (-87.53301278309536 41.69865681191282),10810 S AVE H,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.53301278,41.69865681
609773,2030,AGASSIZ,POINT (-87.65619104196709 41.9341025400086),2851 N SEMINARY AVE,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.65619104,41.93410254
610513,1055,AIR FORCE HS,POINT (-87.65926638205354 41.86327021910502),1301 W 14TH ST,HS,9,High School,-87.65926638,41.86327022
610212,6290,ALBANY PARK,POINT (-87.70962733404215 41.971146442216195),4929 N SAWYER AVE,MS,"7, 8, 9",Elementary School,-87.70962733,41.97114644
609774,2040,ALCOTT,POINT (-87.64633906878717 41.929833806968766),2625 N ORCHARD ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.64633907,41.92983381
610524,8035,ALCOTT HS,POINT (-87.68052226925774 41.93567633561773),2957 N HOYNE AVE,HS,9,High School,-87.68052227,41.93567634
609848,2710,ALDRIDGE,POINT (-87.60655234290131 41.65743250063949),630 E 131ST ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.60655234,41.6574325
609775,2050,ALTGELD,POINT (-87.65822972189343 41.7651029455716),1340 W 71ST ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.65822972,41.76510295
400012,6655,AMANDLA,POINT (-87.63534909445909 41.77074529232907),6800 S STEWART AVE,HS,"5, 6",Charter,-87.6353491,41.77074529
