SCHOOL_ID,Short_Name,SCH_ADDR,the_geom,GRADE_CAT,GRADES,SCH_TYPE,X,Y
609821,BURNHAM,"1903 E 96TH ST, 60617",POINT (-87.57761610478451 41.720529374084634),ES,"K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.5776161,41.72052938
609827,BURNSIDE,"650 E 91ST PL, 60619",POINT (-87.60743531771375 41.72848063518624),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.60743532,41.72848064
609828,BURR,"1621 W WABANSIA AVE, 60622",POINT (-87.66866060012036 41.91235791085212),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.6686606,41.91235791
609829,BURROUGHS,"3542 S WASHTENAW AVE, 60632",POINT (-87.69245662443122 41.828867904695734),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.69245662,41.82886791
609832,BYRNE,"5329 S OAK PARK AVE, 60638",POINT (-87.79154448272853 41.79503096083551),ES,"K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.79154448,41.79503096
400091,CHICAGO TECH ACADEMY,"1301 W 14TH ST, 60608",POINT (-87.65909480289805 41.863301410924144),HS,"9, 10, 11",Contract,-87.6590948,41.86330141
609833,CALDWELL,"8546 S CREGIER AVE, 60617",POINT (-87.58072902531072 41.739226350867675),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.58072902,41.73922635
610243,CALHOUN,"2833 W ADAMS ST, 60612",POINT (-87.6975585306753 41.878248528962764),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.69755853,41.87824853
610353,CALMECA,"3456 W 38TH ST, 60632",POINT (-87.71165364062117 41.82437732271189),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.71165364,41.82437732
609835,CAMERON,"1234 N MONTICELLO AVE, 60651",POINT (-87.71792663394626 41.90379212251171),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.71792663,41.90379212
610539,CAMRAS,"3000 N MANGO AVE, 60634",POINT (-87.77012725796622 41.934930622983885),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.77012726,41.93493062
610018,CANTER,"4959 S BLACKSTONE AVE, 60615",POINT (-87.59043083100246 41.80430796743642),MS,"7, 8","District, non-alternative",-87.59043083,41.80430797
609836,CANTY,"3740 N PANAMA AVE, 60634",POINT (-87.8292957022145 41.94800702817947),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.8292957,41.94800703
610024,CARDENAS,"2345 S MILLARD AVE, 60623",POINT (-87.7160174036969 41.84848777346416),ES,"PK, K, 1, 2, 3","District, non-alternative",-87.7160174,41.84848777
609837,CARNEGIE,"1414 E 61ST PL, 60637",POINT (-87.59079500448897 41.78336831906858),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.590795,41.78336832
609839,CARROLL,"2929 W 83RD ST, 60652",POINT (-87.69601207396762 41.74251662216508),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.69601207,41.74251662
609842,CARSON,"5516 S MAPLEWOOD AVE, 60629",POINT (-87.68779954324576 41.79327214067223),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.68779954,41.79327214
400010,ACE TECHNICAL CHARTER HS,"5410 S STATE ST, 60609",POINT (-87.62584903297876 41.7961215068429),HS,"9, 10, 11, 12",Charter,-87.62584903,41.79612151
609772,ADDAMS,"10810 S AVENUE H, 60617",POINT (-87.532976037024 41.6987387981394),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.53297604,41.6987388
609773,AGASSIZ,"2851 N SEMINARY AVE, 60657",POINT (-87.65622866502646 41.934126298380114),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.65622866,41.9341263
610513,AIR FORCE HS,"3630 S WELLS ST, 60609",POINT (-87.6327569771275 41.828145320212286),HS,"9, 10, 11","District, non-alternative",-87.63275698,41.82814532
610212,ALBANY PARK,"4929 N SAWYER AVE, 60625",POINT (-87.70966397934643 41.971141487822294),MS,"7, 8","District, non-alternative",-87.70966398,41.97114149
609774,ALCOTT ES,"2625 N ORCHARD ST, 60614",POINT (-87.64637639685175 41.92985054961706),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.6463764,41.92985055
610524,ALCOTT HS,"2957 N HOYNE AVE, 60618",POINT (-87.68056201136822 41.93579455648328),HS,"9, 10, 11","District, non-alternative",-87.68056201,41.93579456
609848,ALDRIDGE,"630 E 131ST ST, 60827",POINT (-87.60647384456267 41.657404965104774),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.60647384,41.65740497
609775,ALTGELD,"1340 W 71ST ST, 60636",POINT (-87.65820483155116 41.7650758911878),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.65820483,41.76507589
400012,AMANDLA CHTR HS,"6800 S STEWART AVE, 60621",POINT (-87.63526151829694 41.77080454666991),HS,"5, 6, 7, 8",Charter,-87.63526152,41.77080455
609780,AMES,"1920 N HAMLIN AVE, 60647",POINT (-87.72174231558469 41.91604463215879),MS,"7, 8","District, non-alternative",-87.72174232,41.91604463
609695,AMUNDSEN HS,"5110 N DAMEN AVE, 60625",POINT (-87.6794842101135 41.97506725672869),HS,"9, 10, 11, 12","District, non-alternative",-87.67948421,41.97506726
609951,ARIEL,"1119 E 46TH ST, 60653",POINT (-87.59851933416013 41.81136167679246),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.59851933,41.81136168
609777,ARMOUR,"950 W 33RD PL, 60608",POINT (-87.65065315531322 41.833853907020945),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.65065316,41.83385391
609779,"ARMSTRONG, G","2110 W GREENLEAF AVE, 60645",POINT (-87.6844418212974 42.01014998640255),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.68444182,42.01014999
610156,"ARMSTRONG, L","5345 W CONGRESS PKWY, 60644",POINT (-87.75923506732659 41.87380958945669),ES,"3, 4, 5, 6","District, non-alternative",-87.75923507,41.87380959
610287,ASHBURN,"8300 S ST LOUIS AVE, 60652",POINT (-87.7096096772409 41.74235056625388),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.70960968,41.74235057
610268,ASHE,"8505 S INGLESIDE AVE, 60619",POINT (-87.60117440686278 41.74018378844838),ES,"K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.60117441,41.74018379
400013,ASPIRA CHTR - EARLY COLLEGE HS,"3986 W BARRY AVE, 60618",POINT (-87.72683657164177 41.9373542755102),HS,"9, 10, 11, 12",Charter,-87.72683657,41.93735428
400017,ASPIRA CHTR - HAUGAN,"3729 W LELAND AVE, 60625",POINT (-87.72182466518926 41.96640566898425),MS,"6, 7, 8",Charter,-87.72182466,41.96640567
400015,ASPIRA CHTR - RAMIREZ HS,"1711 N CALIFORNIA AVE, 60647",POINT (-87.69694138011704 41.912505486655114),HS,"9, 10, 11, 12",Charter,-87.69694138,41.91250549
609781,ATTUCKS,"5055 S STATE ST, 60609",POINT (-87.62578338323173 41.80211260393532),ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.62578338,41.8021126
