SCHOOL_ID,the_geom,Short_Name,SCH_ADDR,GRADE_CAT,GRADES,SCH_TYPE,X,Y
400149,POINT (-87.7110616589636 41.80176207311438),UNO CHTR - SOCCER ACADEMY,"5025 S ST LOUIS AVE, 60632",HS,"6, 7, 8, 9",Charter,-87.71106166,41.80176207
610565,POINT (-87.64916099287105 41.76389542082597),CAMELOT - EXCEL ACADEMY OF ENGLEWOOD,"7141 S MORGAN ST, 60621",HS,"9, 10",Alternative/Contract,-87.64916099,41.76389542
610566,POINT (-87.70660313341577 41.866450411683495),BRIDGESCAPE ACADEMY OF NORTH LAWNDALE,"3222 W ROOSEVELT RD, 60624",HS,"9, 10, 11, 12",Alternative/District,-87.70660313,41.86645041
610567,POINT (-87.58586707775873 41.76682098126386),BRIDGESCAPE ACADEMY OF SOUTH SHORE,"7037 S STONY ISLAND AVE, 60649",HS,,Alternative/District,-87.58586708,41.76682098
610568,POINT (-87.70520611007028 41.93940576761037),PATHWAYS EDUCATION HS - AVONDALE,"3100 W BELMONT AVE, 60618",HS,,Alternative/District,-87.70520611,41.93940577
610569,POINT (-87.70376058661506 41.779018231474446),OMBUDSMAN 1 HS,"3214 W 63RD ST, 60629",HS,,Alternative/District,-87.70376059,41.77901823
610570,POINT (-87.80664497364823 42.01717109081235),OMBUDSMAN 2 HS,"7500 N HARLEM AVE, 60631",HS,,Alternative/District,-87.80664497,42.01717109
610571,POINT (-87.65988177192553 41.97413061920566),OMBUDSMAN 3 HS,"5050 N BROADWAY, 60640",HS,,Alternative/District,-87.65988177,41.97413062
610572,POINT (-87.55091908971704 41.752669869251015),CAMELOT - SAFE SCHOOL PROGRAM ES,"125 S CLARK ST, 60603",ES,,Alternative/District,-87.55091909,41.75266987
610573,POINT (-87.55091908971704 41.752669869251015),CAMELOT - SAFE SCHOOL PROGRAM HS,"125 S CLARK ST, 60603",HS,,Alternative/District,-87.55091909,41.75266987
610574,POINT (-87.57591967408561 41.752015316169384),"MANDELA, W","7847 S JEFFERY BLVD, 60649",HS,,Alternative/District,-87.57591967,41.75201532
400009,POINT (-87.7400981237378 41.80760594421929),GLOBAL CITIZENSHIP CHTR,"4647 W 47TH ST, 60632",ES,"K, 1, 2, 3, 4, 5, 6",Charter,-87.74009812,41.80760595
400010,POINT (-87.62581237160161 41.796121998632486),ACE TECHNICAL CHTR HS,"5410 S STATE ST, 60609",HS,"9, 10, 11, 12",Charter,-87.62581237,41.796122
400011,POINT (-87.70523500417126 41.877275790942726),"LOCKE, A CHTR","3141 W JACKSON BLVD, 60612",ES,"PE, PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.705235,41.87727579
400012,POINT (-87.63522954676468 41.77079113155291),AMANDLA CHTR HS,"6800 S STEWART AVE, 60621",HS,"5, 6, 7, 8, 9, 10",Charter,-87.63522955,41.77079113
400013,POINT (-87.72683602013132 41.93732683403651),ASPIRA CHTR - EARLY COLLEGE HS,"3986 W BARRY AVE, 60618",HS,"9, 10, 11, 12",Charter,-87.72683602,41.93732684
400015,POINT (-87.69697811520399 41.91250483132056),ASPIRA CHTR - RAMIREZ HS,"1711 N CALIFORNIA AVE, 60647",HS,"11, 12",Charter,-87.69697811,41.91250483
400017,POINT (-87.72182521229159 41.96643310491623),ASPIRA CHTR - HAUGAN,"3729 W LELAND AVE, 60625",MS,"6, 7, 8",Charter,-87.72182521,41.96643311
400018,POINT (-87.76328558625954 41.88521268987922),AUSTIN BUS & ENTRP HS,"231 N PINE AVE, 60644",HS,"9, 10, 11, 12","District, non-alternative",-87.76328559,41.88521269
400019,POINT (-87.62662117926456 41.81924917287333),BRONZEVILLE LTHOUSE CHTR CAMPUS,"8 W ROOT ST, 60609",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.62662118,41.81924917
400020,POINT (-87.70795224274201 41.85851912981579),CATALYST CHTR - HOWLAND,"1616 S SPAULDING AVE, 60623",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.70795224,41.85851913
400021,POINT (-87.7653213755743 41.88229478266219),CATALYST CHTR - CIRCLE ROCK,"5608 W WASHINGTON BLVD, 60644",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.76532138,41.88229478
400022,POINT (-87.61362868027727 41.831144971846015),CHGO ARTS CONTR HS,"521 E 35TH ST, 60616",HS,"9, 10, 11, 12",Contract,-87.61362868,41.83114497
400023,POINT (-87.58792816325425 41.743206858944426),CICS - AVALON /SO SHORE,"1501 E 83RD PL, 60619",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.58792816,41.74320686
400024,POINT (-87.67024224112704 41.79401542299054),CICS - BASIL,"1816 W GARFIELD BLVD, 60609",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.67024224,41.79401542
400025,POINT (-87.68139469569019 41.92241390762424),CICS - BUCKTOWN,"2235 N HAMILTON AVE, 60647",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.6813947,41.92241391
400026,POINT (-87.65759767982948 41.72024585320648),CICS - LOOMIS,"9535 S LOOMIS ST, 60643",ES,"K, 1, 2",Charter,-87.65759768,41.72024585
400027,POINT (-87.71045567703203 41.950891857683146),CICS - IRVING PARK,"3820 N SPAULDING AVE, 60618",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.71045568,41.95089186
400028,POINT (-87.61685177508333 41.68443323199442),CICS - PRAIRIE,"11530 S PRAIRIE AVE, 60628",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.61685178,41.68443323
400029,POINT (-87.6221051132182 41.783616344214664),CICS - WASHINGTON PARK,"6105 S MICHIGAN AVE, 60637",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.62210511,41.78361635
400030,POINT (-87.7767852700999 41.921686760609816),CICS - WEST BELDEN,"2245 N MCVICKER AVE, 60639",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.77678527,41.92168676
400031,POINT (-87.69257776273258 41.74536598659973),CICS - WRIGHTWOOD,"8130 S CALIFORNIA AVE, 60652",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.69257776,41.74536599
400032,POINT (-87.66898023136514 41.74840984682328),CICS - ELLISON,"1817 W 80TH ST, 60620",HS,"9, 10, 11, 12",Charter,-87.66898023,41.74840985
400033,POINT (-87.65576875442159 41.721248870905235),CICS - LONGWOOD,"1309 W 95TH ST, 60643",HS,"3, 4, 5, 6, 7, 8, 9, 10, 11, 12",Charter,-87.65576875,41.72124887
400034,POINT (-87.72650366327599 41.99021757344067),CICS - NORTHTOWN,"3900 W PETERSON AVE, 60659",HS,"9, 10, 11, 12",Charter,-87.72650366,41.99021757
400035,POINT (-87.67478186059083 42.013034611331754),CHGO MATH & SCI ACAD CAMPUS HS,"7212 N CLARK ST, 60626",HS,"6, 7, 8, 9, 10, 11, 12",Charter,-87.67478186,42.01303461
400036,POINT (-87.64973577863492 41.88055086840076),CHICAGO VIRTUAL CHTR CAMPUS HS,"38 S PEORIA ST, 60607",HS,"K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",Charter,-87.64973578,41.88055087
400038,POINT (-87.72505872255059 41.86495161866148),COMMUNITY SERVICES WEST,"1239 S PULASKI RD, 60623",HS,"11, 12",Alternative/Contract,-87.72505872,41.86495162
400039,POINT (-87.69440116024101 41.90677154402938),ERIE CHTR CAMPUS,"1405 N WASHTENAW AVE, 60622",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.69440116,41.90677154
400040,POINT (-87.72631369908494 41.86701365053973),FRAZIER CHTR,"4027 W GRENSHAW ST, 60624",ES,"PE, PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.7263137,41.86701365
400041,POINT (-87.72195858929159 41.897285584367935),GALAPAGOS CHTR CAMPUS,"3814 W IOWA ST, 60651",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.72195859,41.89728559
400042,POINT (-87.71056332660218 41.86931199216451),FORD CHTR HS,"931 S HOMAN AVE, 60624",HS,"11, 12",Charter,-87.71056333,41.86931199
400043,POINT (-87.66807610854497 41.88333459156399),HOPE CONTR ES,"1628 W WASHINGTON BLVD, 60612",ES,"K, 1, 2, 3, 4, 5",Contract,-87.66807611,41.88333459
400044,POINT (-87.72126297246537 41.858387123095625),KIPP ASCEND CHTR CAMPUS,"1616 S AVERS AVE, 60623",ES,"K, 1, 2, 3, 5, 6, 7, 8",Charter,-87.72126297,41.85838712
400045,POINT (-87.631057513666 41.698013049045855),NKRUMAH CONTR,"314 W 108TH ST, 60628",ES,"K, 1, 2, 3, 4, 5, 6",Charter,-87.63105751,41.69801305
400046,POINT (-87.7106427829184 41.867273509765546),LEARN CHTR - BUTLER,"1132 S HOMAN AVE, 60624",ES,"PE, PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.71064278,41.86727351
400047,POINT (-87.69870200860234 41.87786112419021),LEARN CHTR - CAMPBELL,"212 S FRANCISCO AVE, 60612",ES,"K, 1, 2, 3, 4, 5",Charter,-87.69870201,41.87786113
400048,POINT (-87.68628988199816 41.874940359009),LEARN CHTR - EXCEL,"2401 W CONGRESS PKWY, 60612",ES,"K, 1, 2, 3, 4, 5",Charter,-87.68628988,41.87494036
400049,POINT (-87.73046974458688 41.856907142183815),LEGACY CHTR CAMPUS,"4217 W 18TH ST, 60623",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.73046974,41.85690714
400050,POINT (-87.66776071892492 41.825699046182564),NAMASTE CHTR CAMPUS,"3737 S PAULINA ST, 60609",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.66776072,41.82569905
