the_geom,Short_Name,School_ID,Network,Address,Zip,Governance,Grade_Cat,Grades,Lat,Long,Phone,GeoNetwork,COMMAREA,WARD_15,ALD_15
POINT (-87.74009743581296 41.807578506885676),GLOBAL CITIZENSHIP,400009,Charter,4647 W 47TH ST,60632,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.80757851,-87.74009744,1(773)582-1100,8,GARFIELD RIDGE,14,Edward M. Burke
POINT (-87.62584903655835 41.79612150956602),ACE TECH HS,400010,Charter,5410 S STATE ST,60609,Charter,HS,"9, 10, 11, 12",41.79612151,-87.62584904,1(773)548-8705,9,WASHINGTON PARK,3,Patricia R. Dowell
POINT (-87.70523452593643 41.87724835219521),LOCKE A,400011,Charter,3141 W JACKSON BLVD,60612,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.87724835,-87.70523453,1(773)265-7232,5,EAST GARFIELD PARK,28,Jason C. Ervin
POINT (-87.72709565849537 41.93729828444937),ASPIRA - EARLY COLLEGE HS,400013,Charter,3986 W BARRY AVE,60618,Charter,HS,"9, 10, 11, 12",41.93729829,-87.72709566,1(773)252-0970 x137,4,AVONDALE,30,Ariel E. Reboyras
POINT (-87.72182466520648 41.966405667183686),ASPIRA - HAUGAN,400017,Charter,3729 W LELAND AVE,60625,Charter,ES,"6, 7, 8",41.96640567,-87.72182467,1(773)252-0970,1,ALBANY PARK,35,Rey Colon
POINT (-87.76532197832837 41.8823222208844),CATALYST - CIRCLE ROCK,400021,Charter,5608 W WASHINGTON BLVD,60644,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.88232222,-87.76532198,1(773)945-5025,3,AUSTIN,29,Chris Taliaferro
POINT (-87.69494501176021 41.89937657239439),CHICAGO ARTS HS,400022,Contract,2714 W AUGUSTA BLVD,60622,Contract,HS,"9, 10, 11, 12",41.89937657,-87.69494501,1(773)534-9710,5,WEST TOWN,26,Roberto Maldonado
POINT (-87.58792764149399 41.74317941977078),CICS - AVALON/SOUTH SHORE,400023,Charter,1501 E 83RD PL,60619,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.74317942,-87.58792764,1(773)721-0858,12,AVALON PARK,8,Michelle A. Harris
POINT (-87.67024265731233 41.79404286369821),CICS - BASIL,400024,Charter,1816 W GARFIELD BLVD,60609,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.79404286,-87.67024266,1(773)778-9455,11,NEW CITY,16,JoAnn Thompson
POINT (-87.68135796494731 41.92241462911477),CICS - BUCKTOWN,400025,Charter,2235 N HAMILTON AVE,60647,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.92241463,-87.68135796,1(773)645-3321,6,LOGAN SQUARE,32,Scott Waguespack
POINT (-87.65756105861855 41.72024642296584),CICS - LOOMIS,400026,Charter,9535 S LOOMIS ST,60643,Charter,ES,"K, 1, 2",41.72024642,-87.65756106,1(773)429-8955,11,WASHINGTON HEIGHTS,21,"Howard B. Brookins, Jr."
POINT (-87.71049242850188 41.95089127467508),CICS - IRVING PARK,400027,Charter,3820 N SPAULDING AVE,60618,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.95089128,-87.71049243,1(773)433-5000,1,IRVING PARK,33,Deborah Mell
POINT (-87.61688838173549 41.684433037932656),CICS - PRAIRIE,400028,Charter,11530 S PRAIRIE AVE,60628,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.68443304,-87.61688838,1(773)928-0480,13,WEST PULLMAN,9,Anthony A. Beale
POINT (-87.62126075301158 41.784126396805284),CICS - WASHINGTON PARK,400029,Charter,110 E 61ST ST,60637,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.7841264,-87.62126075,1(773)324-3300,9,WASHINGTON PARK,20,Willie B. Cochran
POINT (-87.77674853946418 41.92168749461324),CICS - WEST BELDEN,400030,Charter,2245 N MCVICKER AVE,60639,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.9216875,-87.77674854,1(773)637-9430,3,BELMONT CRAGIN,36,Nicholas Sposato
POINT (-87.69261439881286 41.74536544990311),CICS - WRIGHTWOOD,400031,Charter,8130 S CALIFORNIA AVE,60652,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.74536545,-87.6926144,1(773)434-4575,10,ASHBURN,18,Lona Lane
POINT (-87.66897963900723 41.74838240757893),CICS - ELLISON HS,400032,Charter,1817 W 80TH ST,60620,Charter,HS,"9, 10, 11, 12",41.74838241,-87.66897964,1(773)478-4434,11,AUBURN GRESHAM,17,Latasha R. Thomas
POINT (-87.65576813292576 41.72122143220191),CICS - LONGWOOD,400033,Charter,1309 W 95TH ST,60643,Charter,HS,"3, 4, 5, 6, 7, 8, 9, 10, 11, 12",41.72122143,-87.65576813,1(773)238-5330,11,WASHINGTON HEIGHTS,21,"Howard B. Brookins, Jr."
POINT (-87.72650426434443 41.99024501132617),CICS - NORTHTOWN HS,400034,Charter,3900 W PETERSON AVE,60659,Charter,HS,"9, 10, 11, 12",41.99024501,-87.72650426,1(773)478-3655,1,NORTH PARK,39,Margaret Laurino
POINT (-87.67481841837879 42.013031488980566),CHICAGO MATH & SCIENCE HS,400035,Charter,7212 N CLARK ST,60626,Charter,HS,"6, 7, 8, 9, 10, 11, 12",42.01303149,-87.67481842,1(773)761-8960,2,ROGERS PARK,49,Joe A. Moore
POINT (-87.64977248488317 41.88055011182431),CHICAGO VIRTUAL,400036,Charter,38 S PEORIA ST,60607,Charter,HS,"K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",41.88055011,-87.64977248,1(312)267-4486,6,NEAR WEST SIDE,25,Daniel S. Solis
POINT (-87.69436444522483 41.90677063476995),ERIE,400039,Charter,1405 N WASHTENAW AVE,60622,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.90677064,-87.69436445,1(773)486-7161,5,WEST TOWN,1,Proco (Joe) Moreno III
POINT (-87.71764197634056 41.86207686324782),FRAZIER CHARTER,400040,Charter,3711 W DOUGLAS BLVD,60624,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.86207686,-87.71764198,1(773)534-6776,5,NORTH LAWNDALE,24,Michael D. Chandler
POINT (-87.66807694563214 41.883362026191705),HOPE INSTITUTE,400043,Contract,1628 W WASHINGTON,60612,Contract,ES,"K, 1, 2, 3, 4, 5",41.88336203,-87.66807695,1(773)534-7405,6,NEAR WEST SIDE,27,"Walter Burnett, Jr."
POINT (-87.7210706465121 41.858369743196675),KIPP - ASCEND,400044,Charter,1616 S AVERS AVE,60623,Charter,ES,"6, 7, 8",41.85836974,-87.72107065,1(773)521-4766,5,NORTH LAWNDALE,24,Michael D. Chandler
POINT (-87.63105814858851 41.69804048805754),NKRUMAH,400045,Charter,314 W 108TH ST,60628,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.69804049,-87.63105815,1(773)568-8000,13,ROSELAND,34,Carrie M. Austin
POINT (-87.7106794800759 41.867272713849566),LEARN - BUTLER,400046,Charter,1132 S HOMAN AVE,60624,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.86727271,-87.71067948,1(773)826-6330,5,NORTH LAWNDALE,24,Michael D. Chandler
POINT (-87.69873871980407 41.87786063109123),LEARN - CAMPBELL,400047,Charter,212 S FRANCISCO AVE,60612,Charter,ES,"K, 1, 2, 3, 4, 5",41.87786063,-87.69873872,1(773)826-0370,5,EAST GARFIELD PARK,27,"Walter Burnett, Jr."
POINT (-87.702070890427 41.887319914886554),LEARN - EXCEL,400048,Charter,3021 W CARROLL AVE,60612,Charter,ES,"K, 1, 2, 3, 4, 5",41.88731992,-87.70207089,1(312)243-7001,5,EAST GARFIELD PARK,27,"Walter Burnett, Jr."
POINT (-87.73034814856054 41.85685915735708),LEGACY,400049,Charter,4217 W 18TH ST,60623,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.85685916,-87.73034815,1(773)542-1640,5,NORTH LAWNDALE,24,Michael D. Chandler
POINT (-87.66772404348096 41.825699759221585),NAMASTE,400050,Charter,3737 S PAULINA ST,60609,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.82569976,-87.66772404,1(773)715-9558,8,MCKINLEY PARK,12,George A. Cardenas
POINT (-87.6626277822452 41.90019052036328),NOBLE - NOBLE HS,400051,Charter,1010 N NOBLE ST,60642,Charter,HS,"9, 10, 11, 12",41.90019052,-87.66262778,1(773)862-1449,6,WEST TOWN,2,Bob Fioretti
POINT (-87.60416374545034 41.765252281014504),NOBLE - COMER,400052,Charter,7131 SOUTH CHICAGO AVE,60619,Charter,HS,"6, 7, 8, 9, 10, 11, 12",41.76525228,-87.60416375,1(773)729-3969,12,GREATER GRAND CROSSING,5,Leslie A. Hairston
POINT (-87.66448299829219 41.89528219322829),NOBLE - GOLDER HS,400053,Charter,1454 W SUPERIOR ST,60642,Charter,HS,"9, 10, 11, 12",41.89528219,-87.664483,1(312)265-9925,6,WEST TOWN,27,"Walter Burnett, Jr."
POINT (-87.73012671473326 41.91521410632573),NOBLE - PRITZKER HS,400054,Charter,4131 W CORTLAND AVE,60639,Charter,HS,"9, 10, 11, 12",41.91521411,-87.73012671,1(773)394-2848,4,HERMOSA,35,Rey Colon
POINT (-87.66085886981283 41.89242501199445),NOBLE - RAUNER HS,400055,Charter,1337 W OHIO ST,60642,Charter,HS,"9, 10, 11, 12",41.89242501,-87.66085887,1(312)226-5345,6,WEST TOWN,1,Proco (Joe) Moreno III
POINT (-87.7180467676694 41.89536225829381),NOBLE - ROWE CLARK HS,400056,Charter,3645 W CHICAGO AVE,60651,Charter,HS,"9, 10, 11, 12",41.89536226,-87.71804677,1(773)242-2212,5,HUMBOLDT PARK,27,"Walter Burnett, Jr."
POINT (-87.67611092980181 41.86581741283157),NOBLE - UIC HS,400057,Charter,1231 S DAMEN AVE,60608,Charter,HS,"9, 10, 11, 12",41.86581741,-87.67611093,1(312)768-4858,6,NEAR WEST SIDE,28,Jason C. Ervin
POINT (-87.70898711117727 41.85856355339459),NORTH LAWNDALE - CHRISTIANA HS,400058,Charter,1615 S. CHRISTIANA AVE.,60623,Charter,HS,"9, 10, 11, 12",41.85856355,-87.70898711,1(773)542-1490,5,NORTH LAWNDALE,24,Michael D. Chandler
POINT (-87.70068059996225 41.86414584238213),NORTH LAWNDALE - COLLINS HS,400059,Charter,1313 S SACRAMENTO DR,60623,Charter,HS,"8, 9, 10, 11, 12",41.86414584,-87.7006806,1(773)542-6766,5,NORTH LAWNDALE,24,Michael D. Chandler
POINT (-87.67116041931102 41.98337143551791),AHS - PASSAGES,400060,Charter,1643 W BRYN MAWR AVE,60660,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.98337144,-87.67116042,1(773)433-3530,2,EDGEWATER,40,Patrick O'Connor
POINT (-87.65204508844263 41.74596083113286),PERSPECTIVES - LEADERSHIP HS,400061,Charter,8131 S MAY ST,60620,Charter,HS,"6, 7, 8, 9, 10, 11, 12",41.74596083,-87.65204509,1(773)358-6100,11,AUBURN GRESHAM,21,"Howard B. Brookins, Jr."
POINT (-87.6506570244465 41.745949018698816),PERSPECTIVES - TECH HS,400062,Charter,8131 S MAY ST,60620,Charter,HS,"9, 10, 11, 12",41.74594902,-87.65065702,1(773)358-6120,11,AUBURN GRESHAM,21,"Howard B. Brookins, Jr."
POINT (-87.6285309007454 41.85599910441009),PERSPECTIVES - JOSLIN HS,400064,Charter,1930 S ARCHER AVE,60616,Charter,HS,"6, 7, 8, 9, 10, 11, 12",41.85599911,-87.6285309,1(312)225-7400,6,NEAR SOUTH SIDE,3,Patricia R. Dowell
POINT (-87.62478771976076 41.827783856672056),PERSPECTIVES - MATH & SCI HS,400066,Charter,3663 S WABASH AVE,60653,Charter,HS,"6, 7, 8, 9, 10, 11, 12",41.82778386,-87.62478772,1(773)358-6800,9,DOUGLAS,3,Patricia R. Dowell
