School_ID,Network,Short_Name,the_geom,Address,Zip,Governance,Grade_Cat,Grades,Lat,Long,Phone,GeoNetwork,COMMAREA,WARD_15,ALD_15
400010,Charter,ACE TECH HS,POINT (-87.62584903655835 41.79612150956602),5410 S STATE ST,60609,Charter,HS,"9, 10, 11, 12",41.79612151,-87.62584904,1(773)548-8705,9,WASHINGTON PARK,3,Patricia R. Dowell
400153,Charter,ACERO - BRIGHTON PARK,POINT (-87.69323838455642 41.81310944439286),4420 S FAIRFIELD AVE,60632,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.81310945,-87.69323838,1(312)455-5434,8,BRIGHTON PARK,15,Raymond Lopez
400101,Charter,ACERO - CISNEROS,POINT (-87.69399616198365 41.8228837404716),2744 W PERSHING RD,60632,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.82288374,-87.69399616,1(312)376-8830,8,BRIGHTON PARK,12,George A. Cardenas
400120,Charter,ACERO - CLEMENTE,POINT (-87.78783043795977 41.917951679001526),2050 N NATCHEZ AVE,60707,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.91795168,-87.78783044,1(312)455-5425,3,BELMONT CRAGIN,29,Chris Taliaferro
400121,Charter,ACERO - DE LA CRUZ,POINT (-87.68440568153892 42.01647588165271),7416 N RIDGE BLVD,60645,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",42.01647588,-87.68440568,1(312)455-5440,2,WEST RIDGE,49,Joe A. Moore
400081,Charter,ACERO - DE LAS CASAS,POINT (-87.66794916955581 41.859504007501364),1641 W 16TH ST,60608,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.85950401,-87.66794917,1(312)432-3224,7,LOWER WEST SIDE,25,Daniel S. Solis
400082,Charter,ACERO - FUENTES,POINT (-87.69959365144675 41.937475775108396),2845 W BARRY AVE,60618,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.93747578,-87.69959365,1(773)279-9826,4,AVONDALE,33,Deborah Mell
400085,Charter,ACERO - GARCIA HS,POINT (-87.73046684945614 41.809170789228574),4248 W 47TH ST,60632,Charter,HS,"9, 10, 11, 12",41.80917079,-87.73046685,1(773)579-3480,8,ARCHER HEIGHTS,14,Edward M. Burke
400112,Charter,ACERO - IDAR,POINT (-87.70879678421302 41.80104241336387),5050 S HOMAN AVE,60632,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.80104241,-87.70879678,1(312)455-5450,8,GAGE PARK,14,Edward M. Burke
400089,Charter,ACERO - MARQUEZ,POINT (-87.69739409699946 41.80830882382766),2916 W 47TH ST,60632,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.80830882,-87.6973941,1(773)321-2200,8,BRIGHTON PARK,15,Raymond Lopez
400083,Charter,ACERO - PAZ,POINT (-87.69255089867096 41.85003541229726),2651 W 23RD ST,60608,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.85003541,-87.6925509,1(773)890-1054,7,SOUTH LAWNDALE,24,Michael D. Chandler
400114,Charter,ACERO - SANTIAGO,POINT (-87.68989562476189 41.90034363442005),2510 W CORTEZ ST,60622,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.90034364,-87.68989562,1(312)455-5410,5,WEST TOWN,1,Proco (Joe) Moreno III
400149,Charter,ACERO - SOTO HS,POINT (-87.71102498480566 41.801762245391835),5025 S SAINT LOUIS AVE,60632,Charter,HS,"8, 9, 10, 11",41.80176225,-87.71102498,1(312)455-5446,8,GAGE PARK,14,Edward M. Burke
400084,Charter,ACERO - TAMAYO,POINT (-87.69386163539056 41.799930185927614),5135 S CALIFORNIA AVE,60632,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.79993019,-87.69386164,1(773)434-6355,8,GAGE PARK,14,Edward M. Burke
400080,Charter,ACERO - TORRES,POINT (-87.73045044341933 41.80819980605674),4248 W 47TH ST,60632,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.80819981,-87.73045044,1(773)579-3475,8,ARCHER HEIGHTS,14,Edward M. Burke
400079,Charter,ACERO - ZIZUMBO,POINT (-87.73049511744672 41.81013478652209),4248 W 47TH ST,60632,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.81013479,-87.73049512,1(773)579-3470,8,ARCHER HEIGHTS,14,Edward M. Burke
609772,ISP,ADDAMS,POINT (-87.53297604181783 41.69873879907316),10810 S AVENUE H,60617,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.6987388,-87.53297604,1(773)535-6210,13,EAST SIDE,10,Susie Sadlowski Garza
609773,ISP,AGASSIZ,POINT (-87.65622866744738 41.93412629749406),2851 N SEMINARY AVE,60657,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.9341263,-87.65622867,1(773)534-5725,4,LAKE VIEW,44,Thomas Tunney
400060,Charter,AHS - PASSAGES,POINT (-87.67116041931102 41.98337143551791),1643 W BRYN MAWR AVE,60660,Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.98337144,-87.67116042,1(773)433-3530,2,EDGEWATER,40,Patrick O'Connor
610513,Network 6,AIR FORCE HS,POINT (-87.63275698312634 41.828145322049565),3630 S WELLS ST,60609,District,HS,"9, 10, 11, 12",41.82814532,-87.63275698,1(773)535-1590,6,ARMOUR SQUARE,11,James A. Balcer
610212,Network 1,ALBANY PARK,POINT (-87.71060878865852 41.97150444292288),4929 N SAWYER AVE,60625,District,ES,"7, 8",41.97150444,-87.71060879,1(773)534-5108,1,ALBANY PARK,33,Deborah Mell
609774,Network 4,ALCOTT ES,POINT (-87.6464131367942 41.929849851985445),2625 N ORCHARD ST,60614,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.92984985,-87.64641314,1(773)534-5460,4,LINCOLN PARK,43,Michele Smith
610524,Network 4,ALCOTT HS,POINT (-87.68056201258314 41.93579455558985),2957 N HOYNE AVE,60618,District,HS,"9, 10, 11, 12",41.93579456,-87.68056201,1(773)534-5970,4,NORTH CENTER,32,Scott Waguespack
609848,Network 13,ALDRIDGE,POINT (-87.60647384691308 41.65740496962151),630 E 131ST ST,60827,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.65740497,-87.60647385,1(773)535-5614,13,RIVERDALE,9,Anthony A. Beale
609695,ISP,AMUNDSEN HS,POINT (-87.67948421494859 41.97506725585589),5110 N DAMEN AVE,60625,District,HS,"9, 10, 11, 12",41.97506726,-87.67948421,1(773)534-2320,2,LINCOLN SQUARE,40,Patrick O'Connor
609951,ISP,ARIEL,POINT (-87.5975029309574 41.81117346166929),1119 E 46TH ST,60653,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.81117346,-87.59750293,1(773)535-1996,9,KENWOOD,4,"William ""Will"" D. Burns"
609777,Network 6,ARMOUR,POINT (-87.65065315649788 41.83385390882868),950 W 33RD PL,60608,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.83385391,-87.65065316,1(773)535-4530,6,BRIDGEPORT,11,James A. Balcer
609779,Network 2,ARMSTRONG G,POINT (-87.6844418273605 42.01014998373587),2110 W GREENLEAF AVE,60645,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",42.01014998,-87.68444183,1(773)534-2150,2,WEST RIDGE,50,Debra L. Silverstein
610287,Network 10,ASHBURN,POINT (-87.70960968204936 41.74235056627999),8300 S ST LOUIS AVE,60652,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.74235057,-87.70960968,1(773)535-7860,10,ASHBURN,18,Lona Lane
610268,Network 12,ASHE,POINT (-87.60117440804437 41.740183790256616),8505 S INGLESIDE AVE,60619,District,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.74018379,-87.60117441,1(773)535-3550,12,CHATHAM,8,Michelle A. Harris
400172,Charter,ASPIRA - BUSINESS & FINANCE HS,POINT (-87.71820414376963 41.935726466269834),2989 N. MILWAUKEE AVE,60618,Charter,HS,"9, 10, 11",41.93572647,-87.71820414,1(773)252-0970,4,AVONDALE,30,Ariel E. Reboyras
400013,Charter,ASPIRA - EARLY COLLEGE HS,POINT (-87.72709565849537 41.93729828444937),3986 W BARRY AVE,60618,Charter,HS,"9, 10, 11, 12",41.93729829,-87.72709566,1(773)252-0970 x137,4,AVONDALE,30,Ariel E. Reboyras
400017,Charter,ASPIRA - HAUGAN,POINT (-87.72182466520648 41.966405667183686),3729 W LELAND AVE,60625,Charter,ES,"6, 7, 8",41.96640567,-87.72182467,1(773)252-0970,1,ALBANY PARK,35,Rey Colon
609782,Network 4,AUDUBON,POINT (-87.68104105313787 41.94506222430422),3500 N HOYNE AVE,60618,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.94506223,-87.68104105,1(773)534-5470,4,NORTH CENTER,47,Ameya Pawar
610518,Network 3,AUSTIN CCA HS,POINT (-87.76191637273237 41.88599328647998),231 N PINE AVE,60644,District,HS,"9, 10, 11, 12",41.88599329,-87.76191637,1(773)534-0660,3,AUSTIN,37,Emma M. Mitts
609786,Network 12,AVALON PARK,POINT (-87.59165381085134 41.74824699397219),8045 S KENWOOD AVE,60619,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.74824699,-87.59165381,1(773)535-6615,12,AVALON PARK,8,Michelle A. Harris
610544,ISP,AZUELA,POINT (-87.73992023378516 41.77107907193362),4707 W MARQUETTE RD,60629,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.77107907,-87.73992023,1(773)535-7395,10,WEST LAWN,13,Marty Quinn
610563,ISP,BACK OF THE YARDS HS,POINT (-87.6775413678762 41.80841254258602),2111 W 47TH ST,60609,District,HS,"9, 10, 11, 12",41.80841254,-87.67754137,1(773)535-7320,8,NEW CITY,15,Raymond Lopez
609788,Network 10,BARNARD,POINT (-87.65807422406259 41.705131011309035),10354 S CHARLES ST,60643,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.70513101,-87.65807422,1(773)535-2625,10,BEVERLY,19,Matthew J. O'Shea
609789,ISP,BARRY,POINT (-87.73938835103296 41.93251058278424),2828 N KILBOURN AVE,60641,District,ES,"PK, K, 1, 2, 3, 4, 5, 6",41.93251058,-87.73938835,1(773)534-3455,4,HERMOSA,31,Ray Suarez
609790,Network 11,BARTON,POINT (-87.67092712872531 41.75419384978611),7650 S WOLCOTT AVE,60620,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.75419385,-87.67092713,1(773)535-3260,11,AUBURN GRESHAM,17,Latasha R. Thomas
609791,Network 11,BASS,POINT (-87.65353242019691 41.77424645004429),1140 W 66TH ST,60621,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.77424645,-87.65353242,1(773)535-3275,11,ENGLEWOOD,16,JoAnn Thompson
609792,Network 1,BATEMAN,POINT (-87.70215096179008 41.95821983888024),4220 N RICHMOND ST,60618,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.95821984,-87.70215096,1(773)534-5055,1,IRVING PARK,33,Deborah Mell
610083,Network 1,BEARD,POINT (-87.78963033157311 41.97012488233337),6445 W STRONG ST,60656,District,ES,"PK, K, 1, 2, 3",41.97012488,-87.78963033,1(773)534-1228,1,NORWOOD PARK,45,John Arena
610246,Network 9,BEASLEY,POINT (-87.6256915785112 41.798464959275144),5255 S STATE ST,60609,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.79846496,-87.62569158,1(773)535-1230,9,WASHINGTON PARK,3,Patricia R. Dowell
609796,Network 1,BEAUBIEN,POINT (-87.75756503918218 41.97239394466906),5025 N LARAMIE AVE,60630,District,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",41.97239395,-87.75756504,1(773)534-3500,1,JEFFERSON PARK,45,John Arena
