School ID,School Short Name,School Name,Street Address,City,State,ZIP,Website,Managed By Network,Geographic Network,School Track,Overall Rating,On Probation,Years on Probation,Growth Overall Level,Growth EXPLORE,Growth PLAN,Growth ACT,Growth All Grades,Student Performance Level,Over Time EXPLORE 2010,Over Time PLAN 2011,Over Time ACT 2012,Average Score EXPLORE 2012,Average Score PLAN 2012,Average Score ACT 2012,5-Year Cohort Graduation Rate 2011 - Percent,5-Year Cohort Graduation Rate 2012 - Percent,One-Year Dropout Rate 2011 - Percent,One-Year Dropout Rate 2012 - Percent,Freshman On-Track to Graduate 2011 - Percent,Freshman On-Track to Graduate 2012 - Percent,College Eligibility 2011 - Percent,College Eligibility 2012 - Percent,College Enrollment 2011 - Percent,College Enrollment 2012 - Percent,College Retention 2009 - Percent,College Retention 2010 - Percent,Overall Foundation,Involved Families,Supportive Environment,Ambitious Instruction,Effective Leaders,Collaborative Teachers,Safety,Misconducts Resulting in Suspensions 2011 - Percent,Misconducts Resulting in Suspensions 2012 - Percent,Average Days of Suspension 2011,Average Days of Suspension 2012,Student Attendance 2011 - Percent,Student Attendance 2012 - Percent,Teacher Attendance 2011 - Percent,Teacher Attendance 2012 - Percent,Healthy School Certified,Blue Ribbon Award,Blue Ribbon Award Year,X Coordinate,Y Coordinate,Longitude,Latitude,Location
610340,Chgo Acad HS,Chicago Academy High School,3400 N Austin Ave,Chicago,IL,60634,http://www.chicagoacademy.org,AUSL Schools,North-Northwest Side High School Network,Standard,Level 1,No,0,Not Enough Data,,,,,Below Average,14.52,16.41,19.3,15.22,16.26,19.3,70.1,71,5.5,4,80.6,82.2,23.9,35.2,64.2,75.8,75.6,71,Organized,Neutral,Neutral,Strong,Neutral,Neutral,Strong,14.5,4.5,1.9,2.6,93.1,93.6,96.1,95.6,No,,,"1,135,740.091","1,922,002.941",-87.77650575,41.94215439,"(-87.77650575, 41.94215439)"
400018,Austin Bus & Entrp HS,Austin Business and Entrepreneurship Academy HS,231 N Pine Ave,Chicago,IL,60644,http://www.austinbusinessacademy.net,West Side High School Network,West Side High School Network,Standard,Level 3,Yes,4,Above Average,70.2,69.6,54.4,64,Far Below Average,12.06,13.04,14.1,11.95,13.27,14.1,65.6,54.4,13.8,6.9,,,12.2,,51.3,54.1,,47.7,Partially Organized,Weak,Neutral,Neutral,Neutral,Weak,Neutral,73.2,28.3,3.6,2.5,76,73,,94.3,No,,,"1,139,494.763","1,901,274.258",-87.76321191,41.88520477,"(-87.76321191, 41.88520477)"
610524,Alcott HS,Alcott High School for the Humanities,2957 N Hoyne Ave,Chicago,IL,60618,http://www.alcotths.org,North-Northwest Side High School Network,North-Northwest Side High School Network,Standard,Level 2,No,0,Above Average,54,61.2,68.3,61.1,Below Average,15.49,16.28,18,14.5,15.81,18,,,4.8,1.8,87.6,82.6,,,,,,,Moderately Organized,Not Enough Data,Neutral,Neutral,Not Enough Data,Not Enough Data,Strong,40,31.3,2.1,2.6,92.7,92.2,96.9,,No,,,"1,161,870.556","1,919,857.44",-87.68052441,41.93576106,"(-87.68052441, 41.93576106)"
609678,Jones HS,William Jones College Preparatory High School,606 S State St,Chicago,IL,60605,http://www.jonescollegeprep.org,South Side High School Network,South Side High School Network,Standard,Level 1,No,0,Above Average,,,61.9,61.7,Far Above Average,19.69,21.13,25.1,20.8,22.06,25.1,90.1,87.1,1.6,1.5,92.8,98,83.3,80.7,86.9,92.2,91,90.8,Organized,Strong,Strong,Strong,Weak,Weak,Very Strong,24.7,10.6,6,4.5,93.8,93.9,95.3,95.3,No,Yes,2012,"1,176,412.354","1,897,618.088",-87.62775497,41.87441898,"(-87.62775497, 41.87441898)"
609692,Simeon HS,Neal F Simeon Career Academy High School,8147 S Vincennes Ave,Chicago,IL,60620,http://www.simeonca.org,South Side High School Network,South Side High School Network,Standard,Level 3,Yes,9,Average,47.7,56.2,73,58.7,Below Average,14.47,14.83,16.9,14.13,15.26,16.9,75.2,73.5,5.3,4.6,68.5,66.7,14.8,11,74,77.2,72,70,Organized,Neutral,Neutral,Neutral,Strong,Neutral,Neutral,93,97.3,4.7,4,78.6,80.6,94.3,94.6,No,,,"1,174,719.074","1,850,730.192",-87.63537,41.74579217,"(-87.63537, 41.74579217)"
609759,Clemente HS,Roberto Clemente Community Academy High School,1147 N Western Ave,Chicago,IL,60622,http://www.rccachicago.org/,West Side High School Network,West Side High School Network,Standard,Level 3,Yes,17,Below Average,46.6,44.2,,45.5,Far Below Average,12.59,13.38,15,13.46,14.24,15,49.5,52,7.5,1.3,58.9,92.6,12.5,13.5,41.5,43.1,64.7,51.4,Partially Organized,Neutral,Neutral,Neutral,Weak,Weak,Neutral,41.3,77.2,2.8,5,69.6,78.7,94.2,95.5,No,,,"1,160,235.206","1,907,768.877",-87.68686934,41.90262318,"(-87.68686934, 41.90262318)"
609735,Tilden HS,Edward Tilden Career Community Academy HS,4747 S Union Ave,Chicago,IL,60609,http://www.tildencca.org/,Southwest Side High School Network,Southwest Side High School Network,Track E,Level 3,Yes,9,Far Below Average,23.3,51.2,37.1,38.3,Far Below Average,12.22,13.02,13.5,11.58,13.3,13.5,41.1,33.9,8,12.6,86.5,58.6,10.5,8.2,37,30.2,50,54.7,Not Yet Organized,Weak,Neutral,Weak,Weak,Weak,Weak,56.8,38.7,5.4,4.2,78.4,71.2,95.2,94.1,No,,,"1,172,475.474","1,873,203.826",-87.64292985,41.80751207,"(-87.64292985, 41.80751207)"
609713,Hyde Park HS,Hyde Park Academy High School,6220 S Stony Island Ave,Chicago,IL,60637,http://www.hydeparkcps.org,South Side High School Network,South Side High School Network,Standard,Level 3,Yes,9,Average,58.5,55.8,51.4,55,Below Average,13.02,14.04,16,12.69,14.19,16,51.1,53.3,9.4,13.9,63.7,60.5,11.1,12.9,57.6,65.1,69.5,70.9,Partially Organized,Not Enough Data,Weak,Neutral,Not Enough Data,Not Enough Data,Weak,92.5,92.9,3.3,3.2,70.5,67.7,94.2,94.2,No,,,"1,187,898.897","1,864,121.427",-87.58665115,41.78223539,"(-87.58665115, 41.78223539)"
609729,Schurz HS,Carl Schurz High School,3601 N Milwaukee Ave,Chicago,IL,60641,http://www.schurzhs.org,North-Northwest Side High School Network,North-Northwest Side High School Network,Standard,Level 3,Yes,9,Below Average,31.6,52.6,59.9,46.3,Far Below Average,13.42,14.25,15.5,13.93,14.58,15.5,62.1,64.6,5.3,4.8,61.6,66,9.7,15.5,40.4,40.7,65.7,62.1,Not Yet Organized,Weak,Neutral,Neutral,Weak,Weak,Neutral,83,87.1,2.1,1.7,81.2,82,96,95.2,No,,,"1,146,851.198","1,923,627.843",-87.73562542,41.94640794,"(-87.73562542, 41.94640794)"
609715,Kelly HS,Thomas Kelly High School,4136 S California Ave,Chicago,IL,60632,http://www.kellyhs.org,Southwest Side High School Network,Southwest Side High School Network,Standard,Level 3,Yes,1,Above Average,56.8,66.6,62.7,62.3,Below Average,13.41,14.58,16.8,13.63,15.4,16.8,67.4,73.9,0.9,5.5,65.6,63.5,22.1,23.5,46.4,54.9,78.5,71,Partially Organized,Not Enough Data,Weak,Weak,Not Enough Data,Not Enough Data,Weak,55.7,55.5,4.3,3.8,89.3,88.5,95.3,95,No,,,"1,158,337.786","1,877,175.576",-87.69467483,41.81871101,"(-87.69467483, 41.81871101)"
